uniqid,lat,long,Address,Street number,Street,City,State,Country,Zip,Address components,timestamp
363,35.1087,-106.578,"5900 Menaul Blvd NE, Albuquerque, NM 87110, USA",5900,Menaul Boulevard Northeast,Albuquerque,New Mexico,United States,87110,"5900, Menaul Boulevard Northeast, Uptown, Albuquerque, Bernalillo County, New Mexico, United States, 87110, 3240",11/6/17 12:37
364,35.3337,-80.7975,"6225 W Sugar Creek Rd, Charlotte, NC 28269, USA",6225,West Sugar Creek Road,Charlotte,North Carolina,United States,28269,"6225, West Sugar Creek Road, West Sugar Creek, Charlotte, 1, Charlotte, Mecklenburg County, North Carolina, United States, 28269, 8001",11/6/17 12:08
365,38.2283,-85.5783,"1100 S Hurstbourne Pkwy, Louisville, KY 40222, USA",1100,South Hurstbourne Parkway,Louisville,Kentucky,United States,40222,"1100, South Hurstbourne Parkway, Louisville, Jefferson County, Kentucky, United States, 40222",11/6/17 11:48
366,30.4849,-90.4573,"1750 SW Railroad Ave, Hammond, LA 70403, USA",1750,Southwest Railroad Avenue,Hammond,Louisiana,United States,70403,"1750, Southwest Railroad Avenue, Hammond, 7, Tangipahoa Parish, Louisiana, United States, 70403, 6116",11/6/17 11:24
367,35.8021,-83.9435,"2929 Old Knoxville Hwy, Maryville, TN 37804, USA",2929,Old Knoxville Highway,Maryville,Tennessee,United States,37804,"2929, Old Knoxville Highway, Maryville, Blount County, Tennessee, United States, 37804, 2560",11/6/17 11:03
368,38.8006,-90.3351,"85 Florissant Oaks Shopping Center, Florissant, MO 63031, USA",85,Florissant Oaks Shopping Center,Florissant,Missouri,United States,63031,"85, Florissant Oaks Shopping Center, Florissant, Lewis and Clark Township, St. Louis County, Missouri, United States, 63031",11/6/17 11:03
369,30.6659,-96.3273,"608 N Earl Rudder Fwy, Bryan, TX 77802, USA",608,North Earl Rudder Freeway,Bryan,Texas,United States,77802,"608, North Earl Rudder Freeway, Bryan, Brazos County, Texas, United States, 77802",11/6/17 10:59
370,30.4615,-87.3017,"6003 Mobile Hwy, Pensacola, FL 32526, USA",6003,Mobile Highway,Pensacola,Florida,United States,32526,"6003, Mobile Highway, Pensacola, Escambia County, Florida, United States, 32526, 1234",11/6/17 10:49
371,41.2334,-96.1405,"14449 W Center Rd, Omaha, NE 68144, USA",14449,West Center Road,Omaha,Nebraska,United States,68144,"14449, West Center Road, West Omaha, Omaha, Douglas County, Nebraska, United States, 68144, 5401",11/6/17 10:41
372,31.2166,-81.5192,"4957 New Jesup Hwy, Brunswick, GA 31520, USA",4957,New Jesup Highway,Brunswick,Georgia,United States,31520,"4957, New Jesup Highway, Brunswick, Glynn County, Georgia, United States, 31520, 1202",11/6/17 10:36
373,36.0572,-79.6608,"1802 Mt Hope Church Rd, McLeansville, NC 27301, USA",1802,Mount Hope Church Road,McLeansville,North Carolina,United States,27301,"1802, Mount Hope Church Road, McLeansville, Jefferson, Guilford County, North Carolina, United States, 27301",11/6/17 10:34
374,30.6221,-96.3419,"735-761 University Dr, College Station, TX 77840, USA",735-761,University Drive,College Station,Texas,United States,77840,"735-761, University Drive, College Station, Brazos County, Texas, United States, 77840",11/6/17 10:17
375,35.2011,-84.8449,"N Lee Hwy, Cleveland, TN 37312, USA",,North Lee Highway,Cleveland,Tennessee,United States,37312,"North Lee Highway, Cleveland, Bradley County, Tennessee, United States, 37312",11/6/17 9:29
376,40.83,-77.8041,"2821 E College Ave, State College, PA 16801, USA",2821,East College Avenue,State College,Pennsylvania,United States,16801,"2821, East College Avenue, State College, College Township, Centre County, Pennsylvania, United States, 16801",11/6/17 7:30
377,40.3317,-79.9454,"549 Clairton Blvd, West Mifflin, PA 15122, USA",549,Clairton Boulevard,West Mifflin,Pennsylvania,United States,15122,"549, Clairton Boulevard, West Mifflin, Allegheny County, Pennsylvania, United States, 15122",11/6/17 7:06
378,36.1561,-86.7876,"1201 Broadway, Nashville, TN 37203, USA",1201,Broadway,Nashville,Tennessee,United States,37203,"1201, Broadway, Downtown, Nashville, Davidson County, Tennessee, United States, 37203, 3117",11/6/17 6:54
379,32.7475,-116.961,"3759 Avocado Blvd, La Mesa, CA 91941, USA",3759,Avocado Boulevard,La Mesa,California,United States,91941,"3759, Avocado Boulevard, La Mesa, San Diego County, California, United States, 91941",11/5/17 23:20
380,36.3977,-83.0154,"4306 TN-66, Rogersville, TN 37857, USA",4306,Tennessee 66,Rogersville,Tennessee,United States,37857,"4306, Tennessee 66, Rogersville, Hawkins County, Tennessee, United States, 37857, 3104",11/5/17 22:25
381,41.2301,-85.8006,"3611 Commerce Dr, Warsaw, IN 46580, USA",3611,Commerce Drive,Warsaw,Indiana,United States,46580,"3611, Commerce Drive, Warsaw, Wayne Township, Kosciusko County, Indiana, United States, 46580, 3929",11/5/17 18:55
382,33.5194,-101.958,"6507 82nd St, Lubbock, TX 79424, USA",6507,82nd Street,Lubbock,Texas,United States,79424,"6507, 82nd Street, Lubbock, Lubbock County, Texas, United States, 79424",11/5/17 17:32
383,34.9669,-81.9296,"106 Garner Rd, Spartanburg, SC 29303, USA",106,Garner Road,Spartanburg,South Carolina,United States,29303,"106, Garner Road, Spartanburg, Spartanburg County, South Carolina, United States, 29303, 3149",11/5/17 16:51
384,36.9146,-81.273,"4153 Blacklick Rd, Rural Retreat, VA 24368, USA",4153,Blacklick Road,Rural Retreat,Virginia,United States,24368,"4153, Blacklick Road, Rural Retreat, Black Lick, Wythe County, Virginia, United States, 24368, 2572",11/5/17 16:43
385,33.984,-118.098,"8913 Washington Blvd, Pico Rivera, CA 90660, USA",8913,Washington Boulevard,Pico Rivera,California,United States,90660,"8913, Washington Boulevard, El Rancho, Pico Rivera, Los Angeles County, California, United States, 90660, 3728",11/5/17 16:14
386,38.0833,-85.6684,"11490 Preston Hwy, Louisville, KY 40229, USA",11490,Preston Highway,Louisville,Kentucky,United States,40229,"11490, Preston Highway, Louisville, Bullitt County, Kentucky, United States, 40229",11/5/17 15:53
387,39.7126,-86.12,"3649 S Keystone Ave, Indianapolis, IN 46227, USA",3649,South Keystone Avenue,Indianapolis,Indiana,United States,46227,"3649, South Keystone Avenue, Carson Heights, Indianapolis, Perry Township, Marion County, Indiana, United States, 46227, 3507",11/5/17 14:40
388,33.8444,-118.387,"235 N Pacific Coast Hwy, Redondo Beach, CA 90277, USA",235,North Pacific Coast Highway,Redondo Beach,California,United States,90277,"235, North Pacific Coast Highway, South Redondo, Redondo Beach, Los Angeles County, California, United States, 90277",11/5/17 14:33
389,33.1284,-96.7338,"6225 Custer Rd, Frisco, TX 75035, USA",6225,Custer Road,Frisco,Texas,United States,75035,"6225, Custer Road, Custer Bridges, Frisco, Collin County, Texas, United States, 75035, 9307",11/5/17 13:39
390,40.4869,-79.8897,"907 Freeport Rd, Pittsburgh, PA 15215, USA",907,Freeport Road,Pittsburgh,Pennsylvania,United States,15215,"907, Freeport Road, Lincoln-Lemington-Belmar, Pittsburgh, Allegheny County, Pennsylvania, United States, 15215",11/5/17 13:22
391,39.8563,-86.392,"1031 N Green St, Brownsburg, IN 46112, USA",1031,North Green Street,Brownsburg,Indiana,United States,46112,"1031, North Green Street, Brownsburg, Lincoln Township, Hendricks County, Indiana, United States, 46112",11/5/17 13:22
392,38.9374,-92.7444,"490 Americana, Boonville, MO 65233, USA",490,Americana,Boonville,Missouri,United States,65233,"490, Americana, Boonville, Boonville Township, Cooper County, Missouri, United States, 65233",11/5/17 12:41
393,34.8689,-85.5142,"5316 GA-136, Trenton, GA 30752, USA",5316,Georgia 136,Trenton,Georgia,United States,30752,"5316, Georgia 136, Trenton, Dade County, Georgia, United States, 30752",11/5/17 12:39
394,39.4773,-80.1205,"1000 Speedway Ave, Fairmont, WV 26554, USA",1000,Speedway Avenue,Fairmont,West Virginia,United States,26554,"1000, Speedway Avenue, Fairmont, Palatine, Marion County, West Virginia, United States, 26554, 4448",11/5/17 12:34
395,33.9812,-118.439,"4680 CA-1, Marina Del Rey, CA 90292, USA",4680,California 1,Marina del Rey,California,United States,90292,"4680, California 1, Marina del Rey, Los Angeles County, California, United States, 90292",11/5/17 12:17
396,42.9588,-87.9132,"191 W Layton Ave, Milwaukee, WI 53207, USA",191,West Layton Avenue,Milwaukee,Wisconsin,United States,53207,"191, West Layton Avenue, The Gateway To Milwaukee, Milwaukee, Milwaukee County, Wisconsin, United States, 53207, 5916",11/5/17 12:11
397,26.2482,-98.4754,"Coyote Dr, La Joya, TX 78560, USA",,Coyote Drive,La Joya,Texas,United States,78560,"Coyote Drive, La Joya, Hidalgo County, Texas, United States, 78560",11/5/17 12:10
398,32.5328,-93.6722,"4590 E Texas St, Bossier City, LA 71111, USA",4590,East Texas Street,Bossier City,Louisiana,United States,71111,"4590, East Texas Street, Bossier City, 8, Bossier Parish, Louisiana, United States, 71111, 2934",11/5/17 11:14
399,32.5542,-84.9467,"7350 N Lake Loop, Columbus, GA 31909, USA",7350,North Lake Loop,Columbus,Georgia,United States,31909,"7350, North Lake Loop, Columbus, Muscogee County, Georgia, United States, 31909",11/5/17 11:13
400,29.9092,-95.5842,"9452 Jones Rd, Houston, TX 77065, USA",9452,Jones Road,Houston,Texas,United States,77065,"9452, Jones Road, Houston, Harris County, Texas, United States, 77065, 4409",11/5/17 11:09
401,46.2891,-96.1102,"2085 College Way, Fergus Falls, MN 56537, USA",2085,College Way,Fergus Falls,Minnesota,United States,56537,"2085, College Way, Fergus Falls, Otter Tail County, Minnesota, United States, 56537",11/5/17 11:00
402,38.941,-80.819,"19 WV-5, Glenville, WV 26351, USA",19,West Virginia 5,Glenville,West Virginia,United States,26351,"19, West Virginia 5, Glenville, City, Gilmer County, West Virginia, United States, 26351",11/5/17 10:10
403,38.2186,-91.1628,"826-928 S Service Rd W, Sullivan, MO 63080, USA",826-928,South Service Road West,Sullivan,Missouri,United States,63080,"826-928, South Service Road West, Sullivan, Meramec Township, Franklin County, Missouri, United States, 63080",11/5/17 9:47
404,40.5353,-78.4021,"406 E 25th Ave, Altoona, PA 16601, USA",406,East 25th Avenue,Altoona,Pennsylvania,United States,16601,"406, East 25th Avenue, Altoona, Blair County, Pennsylvania, United States, 16601",11/5/17 9:33
405,34.8598,-82.2691,"3618 Pelham Rd, Greenville, SC 29615, USA",3618,Pelham Road,Greenville,South Carolina,United States,29615,"3618, Pelham Road, Greenville, Greenville County, South Carolina, United States, 29615",11/5/17 9:30
406,34.6434,-79.0099,"2680 N Roberts Ave, Lumberton, NC 28358, USA",2680,North Roberts Avenue,Lumberton,North Carolina,United States,28358,"2680, North Roberts Avenue, Lumberton, Lumberton, Robeson County, North Carolina, United States, 28358, 2860",11/4/17 22:31
407,37.0784,-94.477,"1123 S Rangeline Rd, Joplin, MO 64801, USA",1123,South Rangeline Road,Joplin,Missouri,United States,64801,"1123, South Rangeline Road, Joplin, Joplin Township, Jasper County, Missouri, United States, 64801, 5586",11/4/17 22:21
408,44.0219,-92.4856,"1505 2nd St SW, Rochester, MN 55902, USA",1505,2nd Street Southwest,Rochester,Minnesota,United States,55902,"1505, 2nd Street Southwest, Kutzky Park, Rochester, Olmsted County, Minnesota, United States, 55902, 0356",11/4/17 21:55
409,44.9004,-91.9325,"1505 N Broadway St, Menomonie, WI 54751, USA",1505,Broadway Street,Menomonie,Wisconsin,United States,54751,"1505, Broadway Street, Menomonie, Dunn County, Wisconsin, United States, 54751",11/4/17 21:49
410,34.033,-118.184,"3860-3862 E 3rd St, Los Angeles, CA 90063, USA",3860-3862,East 3rd Street,Los Angeles,California,United States,90063,"3860-3862, East 3rd Street, Los Angeles, Los Angeles County, California, United States, 90063",11/4/17 20:28
411,30.4826,-97.8314,"1466-1496 Cypress Creek Road, Cedar Park, TX 78613, USA",1466-1496,Cypress Creek Road,Cedar Park,Texas,United States,78613,"1466-1496, Cypress Creek Road, Cedar Park, Williamson County, Texas, United States, 78613, 3605",11/4/17 20:02
412,28.1221,-80.6391,"1200 Sarno Rd, Melbourne, FL 32935, USA",1200,Sarno Road,Melbourne,Florida,United States,32935,"1200, Sarno Road, Melbourne, Brevard County, Florida, United States, 32935, 5204",11/4/17 19:49
413,36.1085,-79.464,"1834 W Davis St, Burlington, NC 27215, USA",1834,West Davis Street,Burlington,North Carolina,United States,27215,"1834, West Davis Street, Burlington, 12, Burlington, Alamance County, North Carolina, United States, 27215",11/4/17 19:21
414,29.0142,-81.0002,"2995-3015 FL-44, New Smyrna Beach, FL 32168, USA",2995-3015,Florida 44,New Smyrna Beach,Florida,United States,32168,"2995-3015, Florida 44, New Smyrna Beach, Volusia County, Florida, United States, 32168",11/4/17 18:40
415,30.4826,-97.8314,"1466-1496 Cypress Creek Road, Cedar Park, TX 78613, USA",1466-1496,Cypress Creek Road,Cedar Park,Texas,United States,78613,"1466-1496, Cypress Creek Road, Cedar Park, Williamson County, Texas, United States, 78613, 3605",11/4/17 17:49
416,41.678,-91.5666,"618 1st Ave, Coralville, IA 52241, USA",618,1st Avenue,Coralville,Iowa,United States,52241,"618, 1st Avenue, Coralville, West Lucas, Johnson County, Iowa, United States, 52241, 2102",11/4/17 17:29
417,34.2588,-118.536,"10350 Reseda Blvd, Northridge, CA 91326, USA",10350,Reseda Boulevard,Los Angeles,California,United States,91326,"10350, Reseda Boulevard, Northridge, Los Angeles, Los Angeles County, California, United States, 91326",11/4/17 16:17
418,30.5602,-97.8457,"1445 US-183, Leander, TX 78641, USA",1445,U.S. 183,Leander,Texas,United States,78641,"1445, U.S. 183, Leander, Williamson County, Texas, United States, 78641",11/4/17 15:07
419,41.6013,-93.6266,"601 University Ave, Des Moines, IA 50314, USA",601,University Avenue,Des Moines,Iowa,United States,50314,"601, University Avenue, River Bend, Des Moines, Des Moines, Polk County, Iowa, United States, 50314, 2704",11/4/17 14:46
420,33.1995,-96.7065,"6750 Virginia Pkwy, McKinney, TX 75071, USA",6750,Virginia Parkway,McKinney,Texas,United States,75071,"6750, Virginia Parkway, McKinney, Collin County, Texas, United States, 75071",11/4/17 14:22
421,33.8194,-116.459,"Baristo Rd, Cathedral City, CA 92234, USA",,Baristo Road,Cathedral City,California,United States,92234,"Baristo Road, Cathedral City, Riverside County, California, United States, 92234",11/4/17 14:10
422,29.3801,-100.904,"Ave G, Del Rio, TX 78840, USA",,Avenue G,Del Rio,Texas,United States,78840,"Avenue G, Del Rio, Val Verde County, Texas, United States, 78840",11/4/17 14:06
423,28.4796,-80.7705,"6857 US-1, Port St John, FL 32927, USA",6857,U.S. Highway 1,Port Saint John,Florida,United States,32927,"6857, U.S. Highway 1, Port Saint John, Brevard County, Florida, United States, 32927",11/4/17 13:47
424,42.2698,-89.0004,"314 N Mulford Rd, Rockford, IL 61108, USA",314,North Mulford Road,Rockford,Illinois,United States,61108,"314, North Mulford Road, Rockford, Rockford Township, Winnebago County, Illinois, United States, 61108",11/4/17 13:06
425,37.7235,-97.2436,"8100 E 21st St N, Wichita, KS 67206, USA",8100,East 21st Street North,Wichita,Kansas,United States,67206,"8100, East 21st Street North, Wichita, Sedgwick County, Kansas, United States, 67206, 2904",11/4/17 13:06
426,34.1636,-118.827,"3801-3805 Thousand Oaks Blvd, Thousand Oaks, CA 91362, USA",3801-3805,Thousand Oaks Boulevard,Thousand Oaks,California,United States,91362,"3801-3805, Thousand Oaks Boulevard, Thousand Oaks, Ventura County, California, United States, 91362, 3609",11/4/17 12:19
427,35.8152,-83.981,"2552 Alcoa Hwy, Alcoa, TN 37701, USA",2552,Alcoa Highway,Alcoa,Tennessee,United States,37701,"2552, Alcoa Highway, Alcoa, Blount County, Tennessee, United States, 37701, 3133",11/4/17 11:42
428,44.3714,-100.361,"602 W Sioux Ave, Pierre, SD 57501, USA",602,West Sioux Avenue,Pierre,South Dakota,United States,57501,"602, West Sioux Avenue, Pierre, Hughes County, South Dakota, United States, 57501",11/4/17 11:42
429,40.7852,-77.83,"2167 S Atherton St, State College, PA 16801, USA",2167,South Atherton Street,State College,Pennsylvania,United States,16801,"2167, South Atherton Street, State College, College Township, Centre County, Pennsylvania, United States, 16801",11/4/17 10:55
430,39.2086,-94.5766,"6300 N Oak Trafficway, Kansas City, MO 64118, USA",6300,North Oak Trafficway,Kansas City,Missouri,United States,64118,"6300, North Oak Trafficway, Kansas City, Gallatin Township, Clay County, Missouri, United States, 64118, 4704",11/4/17 10:53
431,32.4199,-86.2315,"2601 Cong W L Dickinson Dr, Montgomery, AL 36109, USA",2601,Cong W L Dickinson Drive,Montgomery,Alabama,United States,36109,"2601, Cong W L Dickinson Drive, Montgomery, Montgomery County, Alabama, United States, 36109, 1105",11/4/17 10:51
432,29.5296,-98.5619,"9600 I-10, San Antonio, TX 78230, USA",9600,Interstate 10,San Antonio,Texas,United States,78230,"9600, Interstate 10, Northwest Side, San Antonio, Bexar County, Texas, United States, 78230",11/4/17 10:26
433,42.1235,-88.3362,"2290 Randall Rd, Carpentersville, IL 60110, USA",2290,Randall Road,Carpentersville,Illinois,United States,60110,"2290, Randall Road, Carpentersville, Dundee Township, Kane County, Illinois, United States, 60110, 3314",11/4/17 10:22
434,43.2907,-91.7968,"801 Centrum Dr, Decorah, IA 52101, USA",801,Centrum Drive,Decorah,Iowa,United States,52101,"801, Centrum Drive, Decorah, Decorah, Winneshiek County, Iowa, United States, 52101, 2550",11/4/17 10:21
435,38.503,-89.9821,"125 S Belt E, Belleville, IL 62220, USA",125,South Belt East,Belleville,Illinois,United States,62220,"125, South Belt East, Belleville, Belleville, St. Clair County, Illinois, United States, 62220, 2647",11/4/17 9:16
436,32.0676,-82.8979,"3 E Oak St, McRae, GA 31055, USA",3,East Oak Street,McRae,Georgia,United States,31055,"3, East Oak Street, McRae, Telfair County, Georgia, United States, 31055",11/4/17 8:18
437,28.3718,-81.3663,"13401 Landstar Blvd, Orlando, FL 32824, USA",13401,Landstar Boulevard,Orlando,Florida,United States,32824,"13401, Landstar Boulevard, Orlando, Orange County, Florida, United States, 32824, 9436",11/4/17 7:11
438,36.1214,-80.3685,"2060 Robinhood Village Dr, Winston-Salem, NC 27106, USA",2060,Robinhood Village Drive,Winston-Salem,North Carolina,United States,27106,"2060, Robinhood Village Drive, Winston-Salem, Vienna, Forsyth County, North Carolina, United States, 27106, 9829",11/4/17 6:23
439,35.3732,-86.2213,"960-1008 US-41A, Tullahoma, TN 37388, USA",960-1008,North Jackson Street,Tullahoma,Tennessee,United States,37388,"960-1008, North Jackson Street, Tullahoma, Coffee County, Tennessee, United States, 37388",11/3/17 21:20
440,34.7918,-84.9615,"1210 N Glenwood Ave, Dalton, GA 30721, USA",1210,North Glenwood Avenue,Dalton,Georgia,United States,30721,"1210, North Glenwood Avenue, Dalton, Whitfield County, Georgia, United States, 30721",11/3/17 21:10
441,41.0276,-80.3534,"2424 Wilmington Rd, New Castle, PA 16105, USA",2424,Wilmington Road,New Castle,Pennsylvania,United States,16105,"2424, Wilmington Road, New Castle, Neshannock Township, Lawrence County, Pennsylvania, United States, 16105",11/3/17 20:59
442,29.3571,-98.528,"2135 SW Military Dr, San Antonio, TX 78224, USA",2135,Southwest Military Drive,San Antonio,Texas,United States,78224,"2135, Southwest Military Drive, Harlandale, San Antonio, Bexar County, Texas, United States, 78224, 1402",11/3/17 19:50
443,34.0344,-117.071,"33598 Yucaipa Blvd, Yucaipa, CA 92399, USA",33598,Yucaipa Boulevard,Yucaipa,California,United States,92399,"33598, Yucaipa Boulevard, Yucaipa, San Bernardino County, California, United States, 92399, 2080",11/3/17 19:32
444,38.7309,-88.0793,"701 E Main St, Olney, IL 62450, USA",701,East Main Street,Olney,Illinois,United States,62450,"701, East Main Street, Olney, Olney Township, Richland County, Illinois, United States, 62450",11/3/17 19:23
445,39.1397,-88.5659,"1304 N Keller Dr, Effingham, IL 62401, USA",1304,North Keller Drive,Effingham,Illinois,United States,62401,"1304, North Keller Drive, Effingham, Douglas Township, Effingham County, Illinois, United States, 62401, 4565",11/3/17 19:06
446,41.2961,-89.0785,"2701 E 12th St, Oglesby, IL 61348, USA",2701,East 12th Street,Oglesby,Illinois,United States,61348,"2701, East 12th Street, Oglesby, LaSalle Township, LaSalle County, Illinois, United States, 61348",11/3/17 14:54
447,33.6708,-117.789,"5443-5481 Alton Pkwy, Irvine, CA 92604, USA",5443-5481,Alton Parkway,Irvine,California,United States,92604,"5443-5481, Alton Parkway, Woodbridge, Irvine, Orange County, California, United States, 92604",11/3/17 18:53
448,33.9048,-117.473,"10952 Magnolia Ave, Riverside, CA 92505, USA",10952,Magnolia Avenue,Riverside,California,United States,92505,"10952, Magnolia Avenue, La Sierra, Riverside, Riverside County, California, United States, 92505",11/3/17 18:35
449,30.4125,-97.6905,"12443 Metric Blvd, Austin, TX 78758, USA",12443,Metric Boulevard,Austin,Texas,United States,78758,"12443, Metric Boulevard, North Austin, Austin, Travis County, Texas, United States, 78758, 2521",11/3/17 18:32
450,39.2456,-94.6598,"6830 NW 83 Terrace, Kansas City, MO 64152, USA",6830,Northwest 83 Terrace,Kansas City,Missouri,United States,64152,"6830, Northwest 83 Terrace, Platte Ridge, Kansas City, May, Platte County, Missouri, United States, 64152, 2040",11/3/17 18:26
451,40.7289,-99.0814,"5605 1st Ave, Kearney, NE 68847, USA",5605,1st Avenue,Kearney,Nebraska,United States,68847,"5605, 1st Avenue, Kearney, Buffalo County, Nebraska, United States, 68847",11/3/17 17:57
452,32.8446,-85.1813,"2920-2922 20th Ave, Valley, AL 36854, USA",2920-2922,20th Avenue,Valley,Alabama,United States,36854,"2920-2922, 20th Avenue, Valley, Chambers County, Alabama, United States, 36854",11/3/17 10:21
453,27.6784,-97.3684,"6306 Saratoga Blvd, Corpus Christi, TX 78414, USA",6306,Saratoga Boulevard,Corpus Christi,Texas,United States,78414,"6306, Saratoga Boulevard, South Side, Corpus Christi, Nueces County, Texas, United States, 78414, 3429",11/3/17 17:49
454,34.9916,-86.8406,"26862 Main St, Ardmore, AL 35739, USA",26862,Main Street,Ardmore,Alabama,United States,35739,"26862, Main Street, Ardmore, Limestone County, Alabama, United States, 35739",11/3/17 17:32
455,32.4744,-96.9787,"1310 E Main St, Midlothian, TX 76065, USA",1310,East Main Street,Midlothian,Texas,United States,76065,"1310, East Main Street, Midlothian, Ellis County, Texas, United States, 76065, 5573",11/3/17 17:14
456,42.1728,-91.7775,"694 Grain Ln, Center Point, IA 52213, USA",694,Grain Lane,Center Point,Iowa,United States,52213,"694, Grain Lane, Center Point, Washington, Linn County, Iowa, United States, 52213",11/3/17 16:57
457,29.6155,-98.6046,"18403 Frontage Rd, San Antonio, TX 78257, USA",18403,Frontage Road,San Antonio,Texas,United States,78257,"18403, Frontage Road, Far North Central, San Antonio, Bexar County, Texas, United States, 78257",11/3/17 16:17
458,39.4731,-80.1526,"910 Fairmont Ave, Fairmont, WV 26554, USA",910,Fairmont Avenue,Fairmont,West Virginia,United States,26554,"910, Fairmont Avenue, Fairmont, Middletown, Marion County, West Virginia, United States, 26554, 5140",11/3/17 16:11
459,34.4711,-117.343,"12128-12132 Mariposa Rd, Victorville, CA 92395, USA",12128-12132,Mariposa Road,Victorville,California,United States,92395,"12128-12132, Mariposa Road, Victorville, San Bernardino County, California, United States, 92395",11/3/17 12:49
460,30.442,-86.5803,"1189 Eglin Pkwy, Shalimar, FL 32579, USA",1189,Eglin Parkway,Shalimar,Florida,United States,32579,"1189, Eglin Parkway, Shalimar, Okaloosa County, Florida, United States, 32579",11/3/17 11:03
461,40.5179,-80.1631,"1010 4th Ave, Coraopolis, PA 15108, USA",1010,4th Avenue,Coraopolis,Pennsylvania,United States,15108,"1010, 4th Avenue, Coraopolis, Allegheny County, Pennsylvania, United States, 15108",11/3/17 15:53
462,44.7774,-91.4331,"3708 Gateway Dr, Eau Claire, WI 54701, USA",3708,Gateway Drive,Eau Claire,Wisconsin,United States,54701,"3708, Gateway Drive, Eau Claire, Eau Claire County, Wisconsin, United States, 54701, 8291",11/3/17 9:07
463,32.4721,-84.9871,"1338 Veterans Pkwy, Columbus, GA 31901, USA",1338,Veterans Parkway,Columbus,Georgia,United States,31901,"1338, Veterans Parkway, Columbus, Muscogee County, Georgia, United States, 31901",11/3/17 15:41
464,38.7726,-90.4915,"1160 S 5th St, St Charles, MO 63301, USA",1160,South 5th Street,Saint Charles,Missouri,United States,63301,"1160, South 5th Street, Saint Charles, Lindenwood Township, St. Charles County, Missouri, United States, 63301, 2432",11/3/17 14:49
465,33.616,-117.708,"23857-23861 Bridger Rd, Lake Forest, CA 92630, USA",23857-23861,Bridger Road,Lake Forest,California,United States,92630,"23857-23861, Bridger Road, Lake Forest, Orange County, California, United States, 92630",11/3/17 12:50
466,29.8077,-91.5081,"1900 Main St, Franklin, LA 70538, USA",1900,Main Street,Franklin,Louisiana,United States,70538,"1900, Main Street, Franklin, 3, St. Mary Parish, Louisiana, United States, 70538, 3116",11/3/17 14:45
467,42.7306,-78.8263,"5897 South Park Ave, Hamburg, NY 14075, USA",5897,South Park Avenue,Hamburg,New York,United States,14075,"5897, South Park Avenue, Hamburg, Hamburg, Erie County, New York, United States, 14075",11/3/17 14:35
468,36.8438,-81.5013,,,,,,,,,11/3/17 14:21
469,32.8332,-117.202,"5920 Balboa Ave, San Diego, CA 92111, USA",5920,Balboa Avenue,San Diego,California,United States,92111,"5920, Balboa Avenue, Clairemont, San Diego, San Diego County, California, United States, 92111, 2712",11/3/17 14:05
470,33.7875,-118.029,"12051 Valley View St, Garden Grove, CA 92845, USA",12051,Valley View Street,Garden Grove,California,United States,92845,"12051, Valley View Street, Garden Grove, Orange County, California, United States, 92845, 1723",11/3/17 13:48
471,30.1912,-97.7688,"6503 S IH 35 Frontage Rd, Austin, TX 78744, USA",6503,South Interstate 35 Frontage Road,Austin,Texas,United States,78744,"6503, South Interstate 35 Frontage Road, South Brook Center, Austin, Travis County, Texas, United States, 78744, 4220",11/3/17 13:11
472,34.1674,-118.323,"1611-1699 W Olive Ave, Burbank, CA 91506, USA",1611-1699,West Olive Avenue,Burbank,California,United States,91506,"1611-1699, West Olive Avenue, Burbank, Los Angeles County, California, United States, 91506",11/3/17 12:58
473,36.1796,-82.7744,,,,,,,,,11/3/17 12:54
474,32.7548,-117.139,"4254-4298 Texas St, San Diego, CA 92104, USA",4254-4298,Texas Street,San Diego,California,United States,92104,"4254-4298, Texas Street, University Heights, San Diego, San Diego County, California, United States, 92104",11/3/17 12:47
475,30.0415,-95.4886,"18604 Kuykendahl Rd, Spring, TX 77388, USA",18604,Kuykendahl Road,Spring,Texas,United States,77388,"18604, Kuykendahl Road, Country Lake Estates, Spring, Harris County, Texas, United States, 77388",11/3/17 12:34
476,32.4386,-104.255,"2311 W Pierce St, Carlsbad, NM 88220, USA",2311,West Pierce Street,Carlsbad,New Mexico,United States,88220,"2311, West Pierce Street, Carlsbad, Eddy County, New Mexico, United States, 88220, 3515",11/3/17 12:33
477,29.8679,-97.9383,"1001 TX-123, San Marcos, TX 78666, USA",1001,Texas 123,San Marcos,Texas,United States,78666,"1001, Texas 123, San Marcos, Hays County, Texas, United States, 78666",11/3/17 10:40
478,33.151,-96.8033,,,,,,,,,11/3/17 11:56
479,28.6976,-81.3605,"900 W State Rd 434, Longwood, FL 32750, USA",900,West State Road 434,Longwood,Florida,United States,32750,"900, West State Road 434, Longwood, Seminole County, Florida, United States, 32750",11/3/17 11:28
480,29.9385,-95.3979,"392 North Sam Houston Pkwy E, Houston, TX 77060, USA",392,North Sam Houston Parkway East,Houston,Texas,United States,77060,"392, North Sam Houston Parkway East, Northside, Houston, Harris County, Texas, United States, 77060",11/3/17 10:23
481,33.695,-117.8,"15459 Irvine Center Dr, Irvine, CA 92604, USA",15459,Irvine Center Drive,Irvine,California,United States,92604,"15459, Irvine Center Drive, Westpark, Irvine, Orange County, California, United States, 92604",11/3/17 11:07
